City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,te anau,-45.4167,167.7167,28.17,46,25,3.61,NZ,1675480235
354,congonhas,-20.4997,-43.8578,18.79,94,100,0.91,BR,1675480235
355,shubarkuduk,49.1447,56.4872,-12.41,83,100,5.84,KZ,1675480235
356,bonavista,48.6499,-53.1147,-0.39,81,74,13.77,CA,1675480236
357,waingapu,-9.6567,120.2641,25.05,88,100,4.87,ID,1675480236
358,wanning,18.8003,110.3967,23.69,82,88,3.54,CN,1675480236
359,ajdabiya,30.7554,20.2263,11.05,72,76,3.57,LY,1675480237
360,ziro,27.6333,93.8333,6.41,42,0,0.79,IN,1675480237
361,ahipara,-35.1667,173.1667,22.35,77,100,3.94,NZ,1675480238
362,luganville,-15.5333,167.1667,30.93,68,80,3.61,VU,1675479959
363,ust-maya,60.4167,134.5333,-28.07,97,100,1.26,RU,1675480238
364,tautira,-17.7333,-149.15,26.67,81,100,8.23,PF,1675480239
365,trenggalek,-8.05,111.7167,29.17,68,100,2.47,ID,1675480239
366,loknya,56.83,30.1467,-9.05,96,94,1.89,RU,1675480240
367,grindavik,63.8424,-22.4338,3.26,70,75,18.01,IS,1675480240
368,datia,25.6667,78.4667,16.38,39,0,2.29,IN,1675480240
369,hualmay,-11.0964,-77.6139,22.06,85,100,3.2,PE,1675480240
370,esperance,-33.8667,121.9,23.78,51,17,4.48,AU,1675480241
371,huanuni,-18.2667,-66.85,4.54,79,95,10.08,BO,1675480243
372,meulaboh,4.1363,96.1285,24.86,89,100,2.68,ID,1675480244
373,deputatskiy,69.3,139.9,-30.95,98,99,1.56,RU,1675480244
374,am timan,11.0297,20.2827,22.9,19,2,2.78,TD,1675480244
375,jalu,29.0331,21.5482,12.14,56,100,2.68,LY,1675480245
376,katsuura,35.1333,140.3,7.27,86,100,1.87,JP,1675480245
377,ponta do sol,32.6667,-17.1,15.56,49,13,2.53,PT,1675480245
378,coos bay,43.3665,-124.2179,11.99,88,100,5.14,US,1675480013
379,katangli,51.7102,143.2326,-17.13,79,18,4.41,RU,1675480246
380,birecik,37.0294,37.9903,1.56,98,100,5.96,TR,1675480246
381,whitianga,-36.8333,175.7,22.34,77,78,3.12,NZ,1675480247
382,ayna,-12.65,-73.9167,14.85,93,100,0.28,PE,1675480247
383,marsh harbour,26.5412,-77.0636,23.36,79,27,6.74,BS,1675480248
384,toyooka,35.5333,134.8333,7.66,76,47,3.47,JP,1675480248
385,nsanje,-16.92,35.262,22.04,92,71,0.48,MW,1675480249
386,dudinka,69.4058,86.1778,-13.52,96,100,3.34,RU,1675480249
387,aksarka,66.5606,67.7975,-18.08,100,78,2.05,RU,1675480249
388,solnechnyy,50.7214,136.6319,-18.59,89,66,1.68,RU,1675480250
389,campbell river,50.0163,-125.2446,7.92,95,100,3.34,CA,1675480014
390,ranau,5.9538,116.6641,26.49,67,93,1.53,MY,1675480250
391,mount gambier,-37.8333,140.7667,17.48,61,92,4.67,AU,1675480251
392,pueblo nuevo,23.3833,-105.3833,10.37,37,6,3.33,MX,1675480251
393,camacha,33.0833,-16.3333,13.68,67,20,3.6,PT,1675480251
394,maan,5.9339,124.7356,29.76,66,100,2.15,PH,1675480252
395,vestmannaeyjar,63.4427,-20.2734,3.66,52,95,15.89,IS,1675480252
396,bundaberg,-24.85,152.35,29.01,78,97,1.34,AU,1675480250
397,shihezi,44.3,86.0333,-9.22,91,68,1.7,CN,1675480252
398,omboue,-1.5746,9.2618,25.93,86,95,2.27,GA,1675480253
399,sibolga,1.7427,98.7792,26.9,76,91,0.11,ID,1675480253
400,yining,29.0361,114.5636,8.12,77,100,0.66,CN,1675480253
401,praxedis guerrero,31.3667,-106.0167,12.7,26,4,4.03,MX,1675480254
402,porto santo,33.072,-16.3415,15.21,67,20,3.6,PT,1675480254
403,grootfontein,-19.5667,18.1167,18.91,89,100,2.02,NA,1675480254
404,ust-tsilma,65.441,52.1498,-12.79,98,100,0.76,RU,1675480255
405,kita,13.0349,-9.4895,21.53,15,45,2.47,ML,1675480255
406,yar-sale,66.8333,70.8333,-13.61,99,98,2.39,RU,1675480256
407,shenjiamen,29.9576,122.298,8.4,65,100,4.39,CN,1675480256
